Mission Summary
Mission Time (s),162.908376455307
Travel Distance (m),21.44088146483957
Total Tree,0
Inspected Tree,0
Validated Tree,0
Coverage (%),0.0

Trajectory
Index,Time (s),X,Y,Z (Altitude),Vx,Vy,Vz,Heading (deg),Airspeed,Groundspeed,Throttle (%)
0,0.6808860301971436,0.06270374357700348,-0.4040939509868622,0.042698219418525696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.1821908950805664,0.06273359805345535,-0.4041506052017212,0.043924883008003235,-0.00045851568575017154,-0.0013897177996113896,0.004013981204479933,98,0.0,0.001441368367522955,0.0
2,1.7031419277191162,0.06282732635736465,-0.4043177366256714,0.044688235968351364,-0.00022656719374936074,-0.0015978821320459247,0.00421842560172081,98,0.0,0.002027609385550022,0.0
3,2.234016180038452,0.06290760636329651,-0.40422192215919495,0.044974200427532196,0.0002183448086725548,-0.0019795922562479973,0.004055512137711048,98,0.0,0.0018933446845039725,0.0
4,2.7223873138427734,0.06273169815540314,-0.4039931297302246,0.04475054144859314,-3.8715188566129655e-05,-0.0012056954437866807,0.0036769367288798094,98,0.0,0.0011073298519477248,0.0
5,3.2517569065093994,0.06272269040346146,-0.4037672281265259,0.044114984571933746,-0.00010876848682528362,-0.0008203678880818188,0.002605837071314454,98,0.0,0.0005807767738588154,0.0
6,3.723853826522827,0.06298475712537766,-0.4037032723426819,0.043211933225393295,0.00010031130659626797,-0.0007030667620711029,0.001528941560536623,98,0.0,0.0008250115788541734,0.0
7,4.208237171173096,0.06324707716703415,-0.4039407968521118,0.042086273431777954,0.0003177359758410603,-0.0009014035458676517,0.0007986497948877513,98,0.0,0.0013556688791140914,0.0
8,4.689584493637085,0.0635162740945816,-0.40399935841560364,0.04040713235735893,0.0007305999752134085,-0.001448752940632403,-0.0008763936348259449,98,0.0,0.0016101158689707518,0.0
9,5.208144187927246,0.06352036446332932,-0.4038900136947632,0.03828933462500572,0.0011847787536680698,-0.0010881414636969566,-0.0029273335821926594,98,0.0,0.001148883136920631,0.0
