Mission Summary
Mission Time (s),161.6666009426117
Travel Distance (m),0.0
Total Tree,1
Inspected Tree,1
Validated Tree,0
Coverage (%),100.0

Trajectory
Index,X,Y

Trees
ID,X,Y,Confidence,Validated,Inspected
1,6.792564868927002,0.006352399941533804,1.0,False,True
