Mission Summary
Mission Time (s),135.96895265579224
Travel Distance (m),0.0
Total Tree,4
Inspected Tree,1
Validated Tree,0
Coverage (%),25.0

Trajectory
Index,X,Y

Trees
ID,X,Y,Confidence,Validated,Inspected
1,6.273187637329102,-2.995429277420044,0.05000000074505806,False,False
2,6.767641544342041,-0.05127240717411041,0.20000000298023224,False,True
3,8.626471519470215,2.1621694564819336,0.05000000074505806,False,False
4,8.948564529418945,-1.5799336433410645,0.05000000074505806,False,False
